TransactionID,Items
1,"milk,chicken"
2,"jam,chocolate,butter,chicken"
3,"banana,chicken"
4,"bread,apple,cereal,milk,chicken,chocolate"
5,"jam,soda,apple"
6,"soda,jam"
7,"cereal,jam,yogurt,apple,eggs,milk"
8,"chicken,cereal,cheese"
9,"butter,jam,rice,cheese"
10,"bread,cereal"
11,"cheese,pasta"
12,"apple,eggs,rice,milk"
13,"soda,bread,cereal,pasta,chocolate"
14,"pasta,banana,apple,cheese"
15,"jam,chicken,bread,milk,banana,chocolate"
16,"bread,pasta,jam,chocolate"
17,"eggs,yogurt,banana,cheese,butter"
18,"cheese,jam,banana,eggs"
19,"apple,banana"
20,"soda,chicken,jam"
21,"yogurt,cereal,eggs"
22,"jam,banana,cheese,milk,chocolate,chicken"
23,"cereal,eggs,bread,jam"
24,"chocolate,chicken,cheese,jam,banana,yogurt"
25,"chocolate,banana,yogurt,butter,eggs"
26,"jam,chicken,soda"
27,"eggs,chicken,apple,cereal,rice,pasta"
28,"jam,butter,soda,yogurt"
29,"rice,milk"
30,"butter,banana"
31,"rice,banana,cereal"
32,"bread,cereal,pasta,apple,yogurt,soda"
33,"soda,pasta,milk,banana"
34,"banana,soda"
35,"rice,banana,cheese,bread"
36,"cereal,butter,yogurt,milk"
37,"soda,rice,butter,chocolate"
38,"pasta,banana"
39,"pasta,banana,soda,apple"
40,"butter,cheese,rice"
41,"soda,rice,chocolate"
42,"apple,cheese"
43,"milk,bread,cheese,eggs,jam"
44,"jam,apple"
45,"bread,chicken"
46,"pasta,bread,rice,soda,butter"
47,"banana,yogurt,soda"
48,"eggs,soda,apple"
49,"jam,soda,rice,chicken,chocolate"
50,"cereal,banana,pasta,cheese"
51,"chocolate,soda,yogurt,bread,jam"
52,"bread,cheese,milk"
53,"soda,jam,apple,pasta,milk,bread"
54,"jam,bread"
55,"pasta,cheese"
56,"soda,jam"
57,"banana,yogurt,jam,soda"
58,"chicken,apple,pasta"
59,"jam,rice,yogurt,cereal,chocolate"
60,"bread,banana"
61,"cheese,cereal,pasta,yogurt,milk"
62,"milk,cereal"
63,"rice,pasta,bread,jam"
64,"jam,soda,yogurt"
65,"cereal,butter,eggs"
66,"jam,pasta,bread,yogurt,soda"
67,"milk,banana"
68,"pasta,milk,bread,jam,butter,cereal"
69,"yogurt,jam,cereal,milk,butter"
70,"milk,cereal,eggs,yogurt,rice"
71,"chicken,chocolate,rice,soda,banana"
72,"butter,jam,eggs,pasta,milk"
73,"chicken,soda,milk,chocolate,cheese,rice"
74,"apple,yogurt"
75,"chocolate,pasta,soda,butter,milk,rice"
76,"pasta,butter"
77,"apple,bread"
78,"cereal,bread,apple"
79,"apple,chocolate,milk"
80,"bread,cereal,banana,apple,chicken,soda"
81,"chocolate,eggs,jam,banana"
82,"jam,eggs,cereal,butter"
83,"yogurt,cheese,rice,bread"
84,"yogurt,apple"
85,"bread,chocolate,soda,jam,rice,eggs"
86,"chocolate,cheese,bread"
87,"cheese,eggs,butter"
88,"pasta,soda,chicken,eggs,apple"
89,"milk,banana,soda,eggs,pasta,bread"
90,"eggs,bread,pasta"
91,"butter,eggs,pasta,apple,jam,cheese"
92,"banana,chocolate,eggs"
93,"yogurt,eggs,milk,bread,banana,cereal"
94,"milk,chocolate,cheese,butter"
95,"butter,chicken,yogurt,soda"
96,"soda,milk,bread,rice,butter"
97,"milk,pasta,cheese,apple,soda,butter"
98,"butter,milk,eggs,cheese,pasta"
99,"jam,banana,chocolate,pasta"
100,"cheese,rice"
101,"chocolate,pasta,cereal,apple,butter,jam"
102,"rice,chocolate,butter"
103,"milk,butter,chicken,cheese,cereal"
104,"eggs,butter,rice"
105,"cereal,pasta"
106,"pasta,yogurt"
107,"jam,pasta,yogurt"
108,"eggs,pasta,rice,jam"
109,"milk,banana,jam"
110,"cheese,eggs,bread,pasta,chocolate"
111,"cereal,banana,soda,cheese,milk,bread"
112,"butter,apple,eggs,milk"
113,"apple,cereal"
114,"chicken,rice,cheese,cereal"
115,"soda,bread,cereal,apple,jam,eggs"
116,"chicken,cereal"
117,"soda,rice"
118,"banana,chicken,pasta,rice,chocolate,jam"
119,"cereal,bread,banana,cheese"
120,"cheese,banana,bread,chicken,eggs,soda"
121,"banana,cereal,cheese,pasta"
122,"soda,butter,jam,cereal"
123,"banana,chicken,butter,apple,pasta"
124,"cereal,soda,milk,eggs"
125,"jam,cereal,rice,apple"
126,"banana,cheese,yogurt,rice,chicken,jam"
127,"yogurt,rice,pasta,chicken,butter,bread"
128,"soda,banana,pasta,apple"
129,"bread,pasta,rice,jam"
130,"jam,rice,chocolate,butter"
131,"milk,jam"
132,"apple,pasta,rice,bread,yogurt"
133,"chocolate,banana,apple,jam,cereal"
134,"cereal,jam,butter,banana,milk"
135,"rice,cereal"
136,"butter,rice,chicken"
137,"yogurt,milk,soda,jam,bread,chocolate"
138,"rice,yogurt,banana"
139,"soda,apple,cheese,yogurt,pasta,chocolate"
140,"pasta,soda,yogurt,butter,rice"
141,"eggs,rice,jam,banana,chocolate"
142,"yogurt,banana,jam,eggs,chocolate,bread"
143,"jam,eggs,cheese,rice"
144,"bread,butter,pasta,jam,cereal,rice"
145,"bread,cereal,pasta"
146,"soda,yogurt,cereal,milk"
147,"pasta,cereal,chocolate"
148,"chicken,milk,rice,apple,cereal,yogurt"
149,"cheese,eggs"
150,"pasta,chocolate,cereal,soda,chicken"
